Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2018:Q4,RemainingTop1,17317958,17984149,3118065,335965,6854004,412964,744117,2902637,3616397,666191,461779,50252,154160
2018:Q4,Next9,37928489,40777148,8619610,1166225,8132787,8008627,4424702,3486937,6938260,2848660,2408141,282319,158200
2018:Q4,Next40,29382348,36003633,12389357,2333654,2625718,7720145,3598853,1550329,5785578,6621285,4967923,1423442,229920
2018:Q4,Bottom50,1684585,6525608,3300251,1273138,143232,293940,428781,166725,919541,4841023,2316851,2234239,289933
2019:Q1,TopPt1,12598842,12723785,1100622,417500,5759711,37741,126352,3172388,2109472,124944,49595,17286,58063
2019:Q1,RemainingTop1,18751032,19422288,3213878,342767,8092290,413520,774643,2860091,3725099,671256,463121,50608,157527
2019:Q1,Next9,40213137,43068263,8801187,1176149,9410699,8091625,4768772,3684599,7135232,2855126,2437819,277114,140193
2019:Q1,Next40,30579010,37194375,12651164,2350978,2954687,7819292,3911651,1540554,5966049,6615366,4980115,1410564,224687
2019:Q1,Bottom50,1764908,6587036,3243320,1300535,165627,300445,468278,174131,934701,4822128,2299956,2238919,283253
2019:Q2,TopPt1,12891084,13017383,1122522,415516,5919816,35393,121552,3286965,2115619,126299,49454,17237,59608
2019:Q2,RemainingTop1,19047355,19714217,3213163,343526,8429589,415096,772353,2828809,3711681,666862,466339,46881,153642
2019:Q2,Next9,41143472,44037018,8950973,1194911,9741288,8156082,4928720,3899717,7165327,2893546,2470837,278125,144584
2019:Q2,Next40,30947576,37640246,12748679,2371450,3031316,7903711,4022201,1539215,6023675,6692671,5019605,1432309,240757
2019:Q2,Bottom50,1850696,6735548,3338848,1318626,167937,306600,485018,183273,935246,4884852,2310001,2277480,297371
2019:Q3,TopPt1,12754868,12884796,1140669,388248,5823249,33115,112917,3314646,2071952,129928,49562,17587,62779
2019:Q3,RemainingTop1,19044046,19713504,3166727,346353,8421263,416757,756197,2847963,3758244,669457,469510,44683,155264
2019:Q3,Next9,41343784,44269075,9019992,1236093,9716851,8216174,5008109,3900925,7170930,2925290,2512739,279097,133454
2019:Q3,Next40,31134349,37890932,12809870,2391723,3020465,7984095,4044397,1566403,6073980,6756584,5057164,1455440,243980
2019:Q3,Bottom50,2000635,6943175,3519750,1329534,162633,312699,491953,184520,942086,4942540,2316993,2327320,298227
2019:Q4,TopPt1,13309829,13439036,1150775,375799,6310050,32014,121469,3344028,2104901,129207,50147,17451,61609
2019:Q4,RemainingTop1,19989434,20654496,3178218,360315,9074770,415989,787909,2910344,3926952,665062,471837,41880,151345
2019:Q4,Next9,42604224,45572196,9110379,1257404,10411179,8308405,5190146,3872528,7422155,2967972,2538048,283967,145957
2019:Q4,Next40,31892964,38714926,12935834,2396749,3215470,8069960,4249609,1593139,6254165,6821961,5082316,1484837,254808
2019:Q4,Bottom50,2107869,7114121,3617222,1341147,176998,314725,515595,182189,966245,5006252,2332792,2364056,309404
2020:Q1,TopPt1,12063233,12193435,1162950,383126,4758087,31971,98684,3428425,2330191,130202,50741,18147,61314
2020:Q1,RemainingTop1,18137564,18805232,3273861,338621,6972311,415759,703663,2929275,4171742,667668,473388,47027,147253
2020:Q1,Next9,40356129,43356394,9261833,1257766,8221490,8306448,4669419,3964097,7675341,3000264,2562859,279452,157953
2020:Q1,Next40,31241338,38078928,13276915,2446592,2652580,8067969,3690592,1591596,6352683,6837590,5099925,1458691,278974
2020:Q1,Bottom50,2048476,7069291,3650034,1347866,131421,314615,453181,181835,990338,5020815,2348320,2344511,327984
2020:Q2,TopPt1,13205572,13336575,1169283,367982,5906190,29685,119838,3455807,2287789,131003,51534,18286,61183
2020:Q2,RemainingTop1,20261414,20932618,3428520,360021,8517129,409841,779844,3006007,4431257,671204,474575,49032,147597
2020:Q2,Next9,42904573,45923763,9395559,1273026,9851507,8377291,5150587,3928981,7946812,3019190,2595716,275540,147934
2020:Q2,Next40,32992858,39820338,13737342,2429803,3097907,8130244,4206557,1626259,6592226,6827479,5117834,1436510,273135
2020:Q2,Bottom50,2139955,7155612,3592252,1358775,165263,314720,509916,180701,1033984,5015657,2377677,2317857,320123
2020:Q3,TopPt1,13894759,14025418,1183333,366382,6532837,28349,129792,3576452,2208273,130659,53028,18585,59046
2020:Q3,RemainingTop1,21322435,21986699,3531572,380444,9358332,406696,814981,3103959,4390716,664264,478476,49150,136638
2020:Q3,Next9,44284327,47427460,9583582,1312459,10726417,8427418,5388248,4006612,7982724,3143134,2658576,277749,206809
2020:Q3,Next40,34003046,40889024,14112140,2504184,3326765,8175029,4453875,1659080,6657951,6885978,5164058,1451699,270221
2020:Q3,Bottom50,2225327,7331242,3642155,1420701,183775,315079,536192,181329,1052011,5105914,2422636,2345472,337806
2020:Q4,TopPt1,15400069,15530141,1206253,360595,7721200,26723,147205,3725452,2342713,130073,54692,18364,57017
2020:Q4,RemainingTop1,23461360,24110524,3639910,404088,10951763,404711,876483,3184266,4649304,649165,482380,45351,121434
2020:Q4,Next9,47198566,50486822,9849480,1349332,12381184,8539977,5752178,4167198,8447473,3288256,2726254,280721,281281
2020:Q4,Next40,35720666,42679374,14549031,2552119,3758513,8279097,4867927,1685493,6987194,6958708,5203589,1471998,283121
2020:Q4,Bottom50,2427778,7615943,3751762,1468286,218908,317267,582749,185715,1091257,5188165,2449218,2368420,370527
2021:Q1,TopPt1,16149000,16280050,1238513,369782,8314305,27023,153274,3851760,2325393,131050,56228,18719,56103
2021:Q1,RemainingTop1,24686054,25332319,3789354,418558,11748789,407752,899407,3333526,4734933,646265,486673,46492,113100
2021:Q1,Next9,48662695,52077147,10218019,1371476,13212540,8593802,5860014,4184271,8637026,3414453,2788607,278576,347270
2021:Q1,Next40,36895079,43889699,15089020,2601159,3977610,8331616,5006653,1740872,7142768,6994619,5243068,1461181,290370
2021:Q1,Bottom50,2602114,7825562,3851054,1509869,236415,319400,600051,182669,1126104,5223448,2462882,2362208,398358
2021:Q2,TopPt1,17147262,17279561,1291008,386465,9011126,26361,164988,4092875,2306738,132298,57741,18525,56032
2021:Q2,RemainingTop1,25962188,26609132,3804160,447572,12680917,407934,940797,3574405,4753347,646944,493665,43238,110041
2021:Q2,Next9,50578479,54082941,10766034,1428695,14176568,8667238,6109173,4283190,8652044,3504462,2857013,285329,362120
2021:Q2,Next40,37981953,45102259,15430890,2742769,4226952,8400532,5287606,1827352,7186159,7120307,5325220,1500777,294310
